run_id,site_id,battery_id,period_id,money_spent,money_no_batt,score
31_2_5,31,2,5,1091.7837159881108,1517.0079402970068,-0.2803045475329837
31_2_6,31,2,6,4498.9302859393865,4639.938026812931,-0.030390005223927367
31_2_7,31,2,7,1207.5330260582234,1691.4614697372945,-0.28610077872730455
31_2_8,31,2,8,2127.4902905769673,3116.766202308375,-0.3174045942229221
31_2_9,31,2,9,4202.288031145517,5162.995970966226,-0.18607567102960912
31_2_10,31,2,10,1766.042178874252,2078.880586994729,-0.150484068242093
32_1_1,32,1,1,3272.7917775877568,3479.111170675383,-0.05930232837244307
32_1_2,32,1,2,2397.659227180542,3060.1150770130894,-0.2164806986537107
32_1_3,32,1,3,1595.9452710482612,2483.149489598736,-0.3572898942519334
32_1_4,32,1,4,1601.470496087986,1983.4510820806752,-0.19258381991048892
32_1_5,32,1,5,2407.7596210002075,2629.989584867249,-0.08449841974498115
32_2_1,32,2,1,3111.215725584024,3479.111170675383,-0.10574409009756981
32_2_2,32,2,2,2040.0569889563476,3060.1150770130894,-0.33333978049361396
32_2_3,32,2,3,1170.7088721407074,2483.149489598736,-0.5285387057668092
32_2_4,32,2,4,1405.9054331925881,1983.4510820806752,-0.2911821996044548
32_2_5,32,2,5,2255.6110912032955,2629.989584867249,-0.1423498008578048
